text,target,label
"গত ৩০ আগস্ট পর্যন্ত দেশে রেমিট্যান্স এসেছে ১৫২ কোটি ডলার, যেখানে আগের মাসে অর্থাৎ জুলাইতে ছিল ১৯৭ কোটি ডলার",2,CWC
তারা প্রচুর টাকা ছাপাতে শুরু করলো,1,WFC
চট্টগ্রামে কর্ণফুলি নদীর নিচে একটি সুড়ঙ্গ নির্মাণ করা হচ্ছে,1,WFC
"আমরা গত বছর দেখেছি, সেপ্টেম্বর ও অক্টোবরে বেশ বৃষ্টিপাত হয়েছে",0,NC
দিতে পারেন ইফতারের বিভিন্ন উপকরণ,0,NC
আগামীকাল থেকে হোয়াটস এপ পর্যবেক্ষণ করা হবে,0,NC
আয়াত হত্যার আসামি আবিরকে পুলিশের হাত থেকে ছিনিয়ে নিয়ে গণপিটুনি দিয়ে মেরে ফেলা হয়,2,CWC
কিছুদিন পর আমি অবসরে চলে যাব,0,NC
রিখটার স্কেলে যদি ৭ মাত্রার ভূমিকম্প হয় তাহলে ভয়াবহ বিপর্যয় ঘটবে,2,CWC
সরকার এখন সংকটে পড়ে গ্যাস উত্তোলন বাড়ানোর সিদ্ধান্ত নিয়েছে,1,WFC
"১ কোটি পরিবার টিসিবি’র ফেয়ার প্রাইজ কার্ডের মাধ্যমে ৩০ টাকা কেজি দরে চাল ও সাশ্রয়ীমূল্যে ভোজ্য তেল, ডাল ও চিনি ক্রয় করতে পারছেন",2,CWC
"আগে আমরা ভটভটি, নছিমনকে দোষ দিতাম",0,NC
প্রকৃতির সঙ্গে সময় কাটাতে আমি খুব পছন্দ করি,0,NC
অপেক্ষা করার সময় নেই,0,NC
এসব মামলায় ১ লাখ ২৪ হাজার ৭৭৫ জন অবৈধ মাদক কারবারিকে আইনের আওতায় আনা হয়েছে,2,CWC
৭৫৭ টি ট্রাক দুর্ঘটনায় আহত ১ হাজার ২৬৯ এবং নিহত হয়েছেন ৬৭ জন,2,CWC
সম্প্রতি এ সম্পর্কিত একটি বিবৃতি প্রকাশ করে ইউনেস্কো,2,CWC
ভূমিকম্পের পর ২৮৫টি ‘আফটারশক' হয়েছে,2,CWC
আমাদের রয়েছে বিপুল সংখ্যক তরুণ,0,NC
সবাই যথাযথ মর্যাদার সাথে তাদের নিজস্ব ধর্ম পালন করতে সক্ষম হবে,0,NC
গত আগস্ট মাসে গ্রামে খাদ্য মূল্যস্ফীতি হয়েছে ১২ দশমিক ৭১ শতাংশ,2,CWC
১৯৯০ সালের ৬ ডিসেম্বর স্বৈরাচার এরশাদের পতনেই থামে সে আন্দোলনের ধারাবাহিকতা,2,CWC
আমি ছোটবেলা থেকে সাঁতারের জাতীয় ক্যাম্পে প্রশিক্ষণও নিয়েছি,0,NC
রাশিয়া-ইউক্রেন যুদ্ধ-পরবর্তী অর্থনৈতিক অবরোধ-পাল্টা অবরোধ বিশ্ব অর্থনীতিকে বিপর্যস্ত করে তুলেছে,1,WFC
তারপর দুজনের মনের লেনদেন,0,NC
নগরে যে সব নদী প্রবাহিত হয় সেসব ছোট নদী দখল হয়ে যাচ্ছে,1,WFC
"প্রধানমন্ত্রী আলেম-ওলামা, ইমাম ও মুয়াজ্জিনদের নামাজের সময় মসজিদে বিশেষ করে জুমার নামাজের সময় সামাজিক হুমকি সম্পর্কে ওয়াজ করতে বলেন, যেন যুবকেরা জঙ্গিবাদ, সন্ত্রাস, মাদক, দুর্নীতি এবং অন্যান্য অভিশাপ থেকে দূরে থাকতে পারে",1,WFC
শ্রীলঙ্কার বিপক্ষে ৩১ আগস্ট বাংলাদেশের প্রথম ম্যাচ,2,CWC
ব্রাহ্মণবাড়িয়া-২ ( সরাইল ও আশুগঞ্জ) আসনের উপ-নির্বাচনে বিএনপির নেতা ও আওয়ামী লীগের আশীর্বাদপুষ্ট নেতা উকিল আবদুস সাত্তার স্বতন্ত্র প্রার্থী আবু আসিফ আহমেদের একমাত্র প্রতিদ্বন্দ্বী ছিলেন,2,CWC
তেলের দাম হয়েছিল লাগামহীন,1,WFC
বাংলাদেশে ব্যক্তিগতভাবে কেউ ৬০ বিঘার বেশি কৃষিজমির মালিক হতে পারবেন না,2,CWC
এ ব্যাপারে জনসচেতনতা সৃষ্টি করতে হবে,0,NC
তাদের মধ্যে দু'জনের মৃত্যু হয়েছে,2,CWC
র‍্যাপিড অ্যাকশন ব্যাটেলিয়ান (র‍্যাব) এরইমধ্যে সামাজিক যোগাযোগ মাধ্যমে গুজব সৃষ্টিকারী কমপক্ষে ২৫ জনকে আটক করে জিজ্ঞাসাবাদ করছে,0,NC
"ফলে ওনার জায়গায় আমার যাওয়ার কোনো সুযোগ নেই, দরকারও নেই",0,NC
আমাদের দেশে নিবন্ধিত নৌযানের চালকদেরই অনেক সময় প্রশিক্ষণ থাকে না,0,NC
২০১৪ সালের একতরফা নির্বাচনের পর ২০১৮ সালের নির্বাচনের মান নিয়েও দেশে-বিদেশে ব্যাপক প্রশ্ন সৃষ্টি হয়,1,WFC
"ফের বাড়ল স্বর্ণের দাম, লাখ টাকা ছাড়ালো ভরি",2,CWC
দীর্ঘ এক দশক পর রাজধানীতে সমাবেশ করেছে নির্বাচন কমিশনের (ইসি) নিবন্ধন হারানো রাজনৈতিক দল জামায়াতে ইসলামী,1,WFC
পরবর্তী বসন্তে সেই ডিম ফুটে বাচ্চা বের হয়,0,NC
"বায়ুদূষণ মানুষের জীবনের অধিকারের ওপর হস্তক্ষেপ করছে, মরণের দিকে ঠেলে দিচ্ছে, মানুষকে কঠিন কঠিন অসুখ দিচ্ছে",1,WFC
বাংলাদেশের মোট জনসংখ্যা ১৬ কোটি ৯৭ লাখ ২৮ হাজার ৯১১,2,CWC
১৯৭৫ সালের বিয়োগান্তক ঘটনার পর আমরা দেশে আসতে পারিনি,0,NC
আসন সংখ্যার বিচারে বাংলাদেশের নির্বাচনের ইতিহাসে সবচেয়ে জোরালো লড়াই হয়েছিল ১৯৯৬ সালে অনুষ্ঠিত সপ্তম জাতীয় সংসদ নির্বাচনে,2,CWC
এ বাজেটে পরিচালন ব্যয় অনেক বাড়ানো হয়েছে,1,WFC
ঈদের আগে আরেক দফা তেলের দাম কমতে পারে বলে জানিয়েছেন বাণিজ্য মন্ত্রণালয়ের সিনিয়র সচিব তপন কান্তি ঘোষ,0,NC
নতুন ১২টি উপজেলায় ৩১ শয্যাবিশিষ্ট নতুন হাসপাতাল নির্মাণ করা হয়েছে যেগুলোকে ৫০ শয্যায় উন্নীত করা হবে,2,CWC
বাংলাদেশ দেউলিয়া হওয়ার ঝুঁকিতে থাকা দেশগুলোর মধ্যে রয়েছে,1,WFC
১৯৬০ এর দশকে তৎকালীন সিলন ও বর্তমান শ্রীলঙ্কার প্রথম নারী প্রধানমন্ত্রী হিসেবে নির্বাচিত হয়েছিলেন শ্রীমাভো বন্দরনায়েকে,2,CWC
"এ নিয়ে মোট গৃহের সংখ্যা দাঁড়াবে ১,১৯,০৮৮",2,CWC
নানা উদ্যোগ নেওয়ার কারণেই ঢাকা দক্ষিণ সিটির আওতাধীন এলাকায় ডেঙ্গু রোগীর সংখ্যা ১০০ থেকে ১৫০–এর ঘরে রাখা সম্ভব হয়েছে,2,CWC
"মেধাবী মানুষকে যদি শিক্ষকতায় না আনা যায়, তাহলে শিক্ষার মান বাড়বে না",0,NC
অথচ আমেরিকা বা ইউরোপের কোনো শহরে তা ০.১ থেকে ০.৫ মাইক্রোগ্রাম,2,CWC
পাশাপাশি অপ্রশস্ত রাস্তাঘাটও প্রশস্ত করা উচিত,0,NC
এ নিয়ে অসংখ্য আর্টিকেল লিখেছি,0,NC
এরমধ্যে তিন হাজারেরও বেশি ব্যাংক হিসাব বেড়েছে মাত্র তিন মাসের মধ্যে,1,WFC
সে সময় বিদ্যুৎ সুবিধাপ্রাপ্ত জনগোষ্ঠির হার ছিল মাত্র ৪৫ শতাংশ,2,CWC
ক্যামেরা থেকে ধরা ছবি ও ভিডিওর মাধ্যমে প্রধানত গবেষণাটি অগ্রসর হয়,1,WFC
তারা মনে করত সড়ক দুর্ঘটনা ও হতাহতের বিষয়টি নিয়তিনির্ধারিত,0,NC
এত আলোচনার পরও সংস্কার কেন এত দিনেও শুরু করা যায়নি?,0,NC
আর এর আওতায় এই পর্যন্ত প্রায় ৮ হাজার যুব সংগঠনকে ১৮ কোটি ৮১ লাখ টাকা অনুদান প্রদান করা হয়েছে যেন স্বকর্মসংস্থান হয়,2,CWC
এই সময় বাংলাদেশ রেলওয়েতে ১৩৭টি নতুন ট্রেন চালু করা হয়েছে,2,CWC
জঙ্গীরা একটি ছাত্রাবাসে আগুন লাগিয়ে দিয়েছে,2,CWC
তার একদিন পরই ১৬০ জন বিশ্ব নেতার চিঠি নিয়ে আবারও আলোচনায় ড ইউনূস ও আসন্ন নির্বাচন,2,CWC
"ইসলামী নেতাদের ব্যাপকহারে প্রচার থাকতে হবে, যাতে অমুসলিম ভাইদের কোনো ক্ষতি না হয়",0,NC
কাতার বিশ্বকাপে শিরোপা জেতার পরও খেলা চালিয়ে যাচ্ছেন মেসি,2,CWC
১৯৯৯ সালে তারা তাদের স্কুল থেকে প্রথম এসএসসি পরীক্ষায় অংশগ্রহণ করে,2,CWC
"২০২০ সালে মাথাপিছু আয় ২,৬৪ মার্কিন ডলারে উন্নীত হয়েছে",2,CWC
এই রেলস্টেশন চালু হলে বিদেশি পর্যটকের আগমন বাড়বে,0,NC
বাংলাদেশকে আমরা উন্নত সমৃদ্ধ দেশ হিসেবে গড়ে তুলতে চাই,0,NC
এমন ধারণা থেকে দেশে প্রায় সময়েই বজ্রপাতে মরা লাশ চুরির ঘটনা ঘটে,1,WFC
"বিষয়গুলো বিশ্লেষণ করলে দেখা যায়, নোয়াখালীতে রক্ষণশীল চিন্তাধারা জনগণের মনে গভীরভাবে প্রোথিত",1,WFC
যুদ্ধক্ষেত্রে শত্রুর যড়যন্ত্র বিফল হয়েছে বলে শহরের সামরিক প্রশাসনের প্রধান সেরহি পপকো টেলিগ্রাম অ্যাপে মন্তব্য করেছেন,1,WFC
মালয়েশিয়ার নেগারি সেম্বিলান রাজ্যে সড়ক দুর্ঘটনায় প্রবাসী বাংলাদেশিসহ দুইজন ‍নিহত হয়েছেন,2,CWC
বিএনপি-জামায়াত আমলে অর্থনীতির চাকা স্থবির হয়ে পড়ে,1,WFC
আমাদের শুধু সেই ইচ্ছাটাকেই জাগ্রত করতে হবে,0,NC
এসব আইন বোঝা বা এগুলোর ভালো-মন্দ নিয়ে তাঁদের কোনো উৎসাহ বা আগ্রহ নেই,1,WFC
৩০০টির মধ্যে ১৫০টির বেশি আসনে সরকারি জোটের প্রার্থীরা বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হন,2,CWC
ক্লাবটির হয়ে জিতেছেন আরও ১৪তি শিরোপা,1,WFC
দীর্ঘসূত্রতার কারণে যেন সিলেটবাসীকে পানির জন্য দুর্ভোগের শিকার হতে না হয়; তাই ওয়াসার কার্যক্রম দ্রুত শুরুর তাগাদা দিয়েছি,0,NC
ফলে সাম্প্রতিক বছরগুলিতে নদীগুলির নাব্যতা আশঙ্কাজনকভাবে হ্রাস পেয়েছে,1,WFC
অবশেষে অভিযোগ নিয়ে জিম্বাবুয়ের কিংবদন্তির বিদায়,1,WFC
আইএমএফের ঋণ চলমান সংকট মোকাবিলায় কতটা ভূমিকা রাখতে পারবে?,0,NC
সরকারি চাকরিজীবীদের বেতন-ভাতা বাবদ মোট বাজেটের ২২-২৮ শতাংশ ব্যয় হয়,2,CWC
যাঁরা প্রবীণ তাঁদের অভিজ্ঞতা তরুণদের জানতে হবে,0,NC
আবহাওয়ার ঠান্ডার কারণে অক্টোবর থেকে ফেব্রুয়ারি পর্যন্ত বিদ্যুতের চাহিদা কিছুটা কমে যাবে,1,WFC
"কৃষি তথ্যকেন্দ্র, ভিডিও কনফারেন্স ও এসএমএসের মাধ্যমে কৃষক তার সমস্যার সমাধান পাচ্ছেন",0,NC
"প্রশাসন যদি শক্তভাবে এটা দেখে, তাহলে আশঙ্কার কোনো কারণই নেই, ভয় পাওয়ারও কোনো কারণ নেই",0,NC
সকালে ঘটেছে ২৫.২৫ শতাংশ,2,CWC
২০০৯ সালে মূল্যস্ফীতি ছিল ডাবল ডিজিটে,2,CWC
এক মৌসুম পরে আবারও হুট করেই উঠেছে এমবাপ্পের দল ছাড়ার গুঞ্জন,0,NC
আমরা তো অতীতের ভুল ও বিভিন্ন ঘটনা থেকে শিক্ষা নিই,0,NC
"এছাড়া ঢাকার বস্তিবাসীদের জন্য মিরপুরে ১০,০০০ ফ্ল্যাট নির্মাণ করা হচ্ছে",1,WFC
২০০৫ সালের ১৭ই আগস্ট সারা দেশের ৬৩ জেলায় একযোগে ৫০০-এর বেশি স্থানে বোমা হামলা চালায়,2,CWC
"এর আগে সকালে আবহাওয়া অধিদপ্তর জানিয়েছিল, গভীর নিম্নচাপটি বুধবার সকাল ৬টায় চট্টগ্রাম সমুদ্রবন্দর থেকে ১ হাজার ৫৫০ কিলোমিটার দক্ষিণে, কক্সবাজার থেকে ১ হাজার ৪৭০ কিলোমিটার দক্ষিণে, মোংলা থেকে ১ হাজার ৫৫০ কিলোমিটার দক্ষিণ-দক্ষিণপূর্বে ও পায়রা সমুদ্রবন্দর থেকে ১ হাজার ৫০৫ কিলোমিটার দক্ষিণ-দক্ষিণপূর্বে অবস্থান করছে",1,WFC
ফলে নিত্য প্রয়োজনীয় দ্রব্যের দাম সাধারণ মানুষের ক্রয়ক্ষমতার আওতায় চলে আসে,1,WFC
এদিকে সরকারের পক্ষ থেকে উদ্ধারকাজের পাশাপাশি ত্রাণসামগ্রী বিতরণের উদ্যোগ নেওয়া হয়েছে,1,WFC
খাদ্য মন্ত্রণালয় ২০২২-২৩ অর্থবছরে ৩০ লাখ ৮ হাজার টন খাদ্যশস্য বিতরণ করেছে,2,CWC
একাদশ শ্রেণি থেকে শিক্ষার্থীরা বিশেষায়িত শিক্ষা সম্পর্কে সিদ্ধান্ত নিতে অধিকতর সক্ষম হবে বলে ধরে নেওয়া হচ্ছে,0,NC
আমাদের আন্তরিক প্রচেষ্টা ও পরিশ্রমে ৩ বছরে আমরা অতিরিক্ত ২৯০০ মেগাওয়াট নতুন বিদ্যুৎ উৎপাদন করেছি,2,CWC
তারা নিয়মিতভাবে দূষিত বায়ুযুক্ত শহরের তালিকা প্রকাশ করে,2,CWC
"যেখানে আগে উৎপাদন খরচে সুদসহ ঋণের পরিমাণ ছিল ৬ থেকে ৭ শতাংশ, সেটি ২০২০ সালে ৬টি চিনিকল বন্ধ করে দেওয়ার সময় হয়ে যায় গড়ে ৩৭ শতাংশ",2,CWC
তিন বছরে এগারটি বৃহৎ সেতু নির্মাণ করা হয়েছে,2,CWC
এ ঘটনায় ১৯টি মামলার মধ্যে ১টি আপসে নিষ্পত্তি হলেও ১৮টি মামলা কক্সবাজারের বিভিন্ন আদালতে বিচারাধীন আছে,2,CWC
গণপরিষদে আওয়ামী লীগ নেতৃবৃন্দও সুষ্ঠু ও সুষ্ঠু নির্বাচনের প্রতিশ্রুতি দেন,1,WFC
মুজিববর্ষ এবং স্বাধীনতার সুবর্ণজয়ন্তীতে শতভাগ মানুষের ঘরে বিদ্যুৎ পৌঁছে দেওয়ার প্রতিশ্রুতি দিয়েছিলাম,0,NC
ডেঙ্গু আক্রান্ত হয়ে দেশের বিভিন্ন সরকারি-বেসরকারি হাসপাতালে ভর্তি হয়েছেন ৪৭৭ জন,2,CWC
একা হাতেই দেশের ক্রিকেটকে এগিয়ে নিতে এক যুগের বেশি সময় কাজ করেছেন,1,WFC
আপনার দুই কোটি কৃষক এই উপকরণ কার্ড পেয়েছে,2,CWC
তা পেতে হলে কিছু কাঠামোগত সংস্কার কাজ বাস্তবায়ন করতে হবে,0,NC
এর প্রায় এক বছর পর ঢাকায় এক দ্বিপক্ষীয় বৈঠকে আবার প্রত্যাবাসনের প্রক্রিয়া শুরুর সিদ্ধান্ত হয়,2,CWC
মজুদ কয়লা দিয়ে দ্বিতীয় ইউনিট চলতে পারে সর্বোচ্চ আগামী ৩ থেকে ৪ জুন পর্যন্ত,2,CWC
"আমার মনে হয়, কথাটা সত্য নয়",0,NC
গত অর্থবছরে আমাদের জিডিপি’র প্রবৃদ্ধির হার ছিল ৭.৮৬ শতাংশ,2,CWC
প্রধানমন্ত্রী আমাকে ডাকেন এবং তার সাথে আমার মন খুলে আলোচনা হয়েছে,0,NC
সবচেয়ে বড় মন্দির ধনতলার সিন্দুর পিন্ডির মন্দিরের আটটি প্রতিমার সবকটিই ভেঙে ফেলা হয়ছে,2,CWC
"বাংলাদেশ বিশ্বে ধান, সবজি ও পেঁয়াজ উৎপাদনে ৩র্থ স্থানে উন্নীত হয়েছে",2,CWC
১৯৫৯ সালে তার স্বামী সলোমোন বন্দরনায়েকের মৃত্যুর পর তিনি রাজনীতিতে পা দেন,2,CWC
তিনি নিজে এই উদ্যোগে অংশগ্রহণ করার আগ্রহ প্রকাশ করেন,1,WFC
"আমি যখন সৈকতের বালুচর দিয়ে হাঁটছিলাম, তখন দেখি একটি টিস্যুতে মোড়ানো কিছু পড়ে আছে",0,NC
কয়েকবার প্রস্তুতি নেওয়া সত্ত্বেও স্পর্শকাতর বিবেচনায় রাতে হলি আর্টিসানে অভিযান চালানো থেকে বিরত থাকে আইনশৃঙ্খলা রক্ষাকারী বাহিনী,0,NC
গত ২৫-৩০ বছরে এমন বন্যা হয়নি,1,WFC
চলতি বছর ২ সেপ্টেম্বর এশিয়া কাপের ১৬ তম আসর পাকিস্তানে এবং ৫ অক্টোবর ওয়ানডে ক্রিকেট বিশ্বকাপের ১৩ তম আসর ভারতে অনুষ্ঠিত হতে যাচ্ছে,2,CWC
গত মাসে ডলারের দাম ৮৬ থেকে বেড়ে ৯৩ টাকা ৪৫ পয়সায় উঠেছে,2,CWC
দারিদ্র্য পরিসংখ্যান নিয়ে সরকার কিছুটা অস্বস্তিতে রয়েছে,1,WFC
"ছড়া, খাল ও ড্রেনের দখলকৃত জায়গা উদ্ধার করতে হবে",0,NC
মানুষের গড় আয়ু বৃদ্ধি পেয়ে হয়েছে ৭২ বছর,2,CWC
ভারতের সঙ্গে স্থলসীমানা চুক্তি বাস্তবায়নের মাধ্যমে সিটমহলবাসীর ৬৮ বছরের বন্দি জীবনের অবসান হয়েছে,2,CWC
পায়রায় দৈনিক কয়লার চাহিদা ছিল ১২ হাজার টন,2,CWC
"একই সঙ্গে জাতিসংঘের তত্ত্বাবধানে রোহিঙ্গা জনগোষ্ঠিকে বাংলাদেশ যে সহায়তা দিচ্ছে, তা আন্তর্জাতিক অঙ্গনে আরও জোরালোভাবে আলোচনা হবে",0,NC
"পরিস্থিতির উন্নতি হচ্ছে, কিন্তু আরো বেশি সাহায্যের প্রয়োজন",1,WFC
আর সে উপাদানটি হলো খাবার সোডা অর্থাৎ বেকিং সোডা,0,NC
মূলত এর পর থেকে দেশটিতে করোনার সংক্রমণ ও এতে মৃত্যুর ঘটনা বেড়ে গেছে,2,CWC
স্টকহোমে কোরআন পোড়ানোর ঘটনা ঘিরে ইরাক-সুইডেনের দ্বিপাক্ষিক সম্পর্কের চরম অবনতির মাঝে ইরাকের সরকার ওই সিদ্ধান্তের কথা জানায়,2,CWC
এমনকি অপরাধীদেরও আইনের কাছে হস্তান্তর করার ব্যবস্থা রয়েছে,1,WFC
এ ব্যাপারে আরো সচেতনতা সৃষ্টি করা দরকার কিন্তু আমি মনে করি এটা একান্তভাবে দরকার এবং এই যে আমরা গবেষণার উপর গুরুত্ব দেই এই গবেষণার জন্যই তো সুস্বাস্থ্যের অধিকারী হওয়া দরকার,0,NC
ক্রিকেটের ইতিহাসে একমাত্র লাল কার্ডের সাক্ষী কিংবদন্তি অস্ট্রেলিয়ান পেসার গ্লেন ম্যাকগ্রা,2,CWC
"ইতিহাসবিদদের মতে, গুটিবসন্তে সে সময় প্রায় ২ কোটি মানুষের মৃত্যু হয়",2,CWC
এমনকি মহড়া শেষ হওয়ার এক ঘণ্টার মধ্যে পরপর দুটি স্বল্প মাত্রার ক্ষেপণাস্ত্রের পরীক্ষা চালায় দেশটি,2,CWC
